1,Abra,63,"The Psi Pokemon. Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps.",Small, 1/2,75,25,1,3,2,12,15,6,20,0,0,9,13,8,12,12,10,TRUE,"Abra can evolve into Kadabra at level 6 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",null,null,null,null,null,null,null
2,Charmander,4,The Lizard Pokemon. The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.,Tiny, 1/2,87,13,1,3,2,13,16,6,30,0,0,12,14,11,6,10,10,TRUE,"Charmander can evolve into Charmeleon at level 6 and above. When it evolves, its health increases by double its level, and it gains 6 points to add to its ability scores (max 20).",null,null,null,null,null,null,null
3,Cubone,104,The Lonely Pokemon. Wears the skull of its deceased mother. Its cries echo inside the skull and come out as a sad melody.,Tiny, 1/2,50,50,1,2,3,14,17,6,30,0,0,12,11,12,6,10,12,TRUE,"Cubone can evolve into Marowak at level 8 and above or Alolan Marowak at level 8 and above with the help of an Alola Stone. When it evolves, its health increases by double its level, and it gains 9 points to add to its ability scores (max 20).",null,null,null,null,null,null,null
4,Eevee,133,The Evolution Pokemon. Eevees genes are the key to solving the mysteries of Pokemon evolution.,Tiny, 1/2,87,13,1,2,3,13,16,6,30,0,0,13,13,10,6,10,12,TRUE,"Starting at level 8, Eevee can evolve into Vaporeon with a Water Stone, Jolteon with a Thunder Stone, Flareon with a Fire Stone, Leafeon with a Leaf Stone, Glaceon with an Ice Stone, Espeon during the day with a Loyalty level of +2 or higher, Umbreon at night with a Loyalty level of +2 or higher, or Sylveon at any time with a Loyalty level of +2 or higher if it knows a fairy-type move. When it evolves, its health increases by double its level, and it gains 14 points to add to its ability scores (max 20).",null,null,null,null,null,null,null
5,Gastly,92,"The Gas Pokemon. Said to appear in decrepit, deserted buildings. It has no real shape, as it appears to be made of a gas.",Small, 1/2,50,50,1,3,2,12,16,6,0,25,0,9,13,11,6,14,10,TRUE,"Gastly can evolve into Haunter at level 7 and above. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",null,null,null,null,null,null,null
6,Pichu,172,"The Tiny Mouse Pokemon. It still can't use electricity well. When it's surprised or excited, it discharges electricity unintentionally.",Tiny, 1/2,50,50,1,3,2,11,12,6,25,0,0,9,12,10,6,10,12,TRUE,"Pichu can evolve into Pikachu at level 3 and above if its loyalty level is +2 or higher. When it evolves, its health increases by double its level, and it gains 7 points to add to its ability scores (max 20).",null,null,null,null,null,null,null
7,Sandshrew,27,"The Mouse Pokemon. Its body is dry. When it gets cold at night, its hide is said to become coated with a fine dew.",Tiny, 1/2,50,50,1,2,3,14,17,6,20,0,0,14,10,12,6,10,10,TRUE,"Sandshrew can evolve into Sandslash at level 7 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",null,null,null,null,null,null,null
8,Goomy,704,"The Soft Tissue Pokemon. The weakest Dragon-type Pokemon, it lives in damp, shady places, so its body doesn't dry out.",Tiny, 1/2,50,50,1,3,2,13,17,6,20,0,0,13,11,13,6,10,10,TRUE,"Goomy can evolve into Sliggoo at level 12 and above. When it evolves, its health increases by double its level, and it gains 9 points to add to its ability scores (max 20).",null,null,null,null,null,null,null
9,Alolan Vulpix,37,"The Fox Pokemon. If you carelessly approach it because it's cute, the boss of the pack, Ninetales, will appear and freeze you.",Tiny, 1/2,25,75,1,2,3,13,16,6,30,0,0,10,12,11,6,10,12,TRUE,"Alolan Vulpix can evolve into Alolan Ninetales at level 8 and above with the help of an Ice Stone. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",null,null,null,null,null,null,null
10,Rowlet,722,"The Grass Quill Pokemon. It sends its feathers, which are as sharp as blades, flying in attack. Its legs are strong, so its kicks are also formidable.",Tiny, 1/2,87,13,1,3,2,13,18,6,5,25,0,10,13,14,6,10,10,TRUE,"Rowlet can evolve into Dartrix at level 6 and above. When it evolves, its health increases by double its level, and it gains 6 points to add to its ability scores (max 20).",null,null,null,null,null,null,null
